Date,Open,High,Low,Close,Adj Close,Volume,Source
2019-08-29,54255.62,54867.07,54212.87,54411.47,54411.47,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-08-30,54411.47,55305.44,54282.61,55259.57,55259.57,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-09-02,55259.57,55353.44,54785.18,54785.18,54785.18,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-09-03,54785.18,54804.74,54357.13,54742.07,54742.07,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-09-04,54742.07,55102.82,54644.34,54907.17,54907.17,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-09-05,54907.17,55738.48,54907.17,55476.36,55476.36,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-09-06,55476.36,55934.13,55335.73,55591.09,55591.09,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-09-09,55591.09,55771.08,55289.1,55523.07,55523.07,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-09-10,55523.07,55523.07,55003.8,55335.81,55335.81,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-09-11,55335.81,56243.78,54344.75,56243.78,56243.78,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-09-12,56243.78,57044.88,56243.78,56781.94,56781.94,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-09-13,56781.94,57387.72,56726.85,57123.78,57123.78,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-09-16,57123.78,57853.9,57123.78,57853.9,57853.9,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-09-17,57853.9,57853.9,56895.23,56895.23,56895.23,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-09-18,56895.23,56895.23,56029.8,56220.41,56220.41,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-09-19,56220.41,56226.96,55731.62,56123.83,56123.83,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-09-20,56123.83,56604.08,56123.83,56406.89,56406.89,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-09-23,56406.89,56434.74,55357.88,55622.8,55622.8,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-09-25,55622.8,55622.8,54623.08,54876.83,54876.83,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-09-26,54876.83,55628.7,54876.83,55271.38,55271.38,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-09-27,55271.38,55470.63,55057.74,55209.03,55209.03,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-09-30,55209.03,55270.18,54624.53,54824.97,54824.97,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-10-01,54824.97,55106.58,54691.5,54945.89,54945.89,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-10-02,54945.89,54945.89,53919.98,54003.82,54003.82,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
